编导,素材名称,素材内容,素材类型,素材ID,消耗,展示数,平均千次展现费用(元),点击数,点击率%,平均点击单价(元),转化数,平均转化成本,转化率%,深度转化数,深度转化成本,深度转化率%
嘉丽,0708-引导-嘉丽-4.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnKJMnbm8SXBkmXJerqIokVmscQLrfVpQVL0bLuikNLqLuDs05IHVd8w8kDK8XkLhXiUKNZjR%2B2bBaVGSBfxrizzAtnvT%2FX1xWjTH5coM7Hzz3oSRz1cvKugl%2FVdd1tQpWqasyyx2HR0idFJM3EYyZw%2BgCEaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA%2FzQzNw%3D,竖版视频,7660186951438139446,"4,033.22","200,122",20.15,"4,623",2.31%,0.87,197,20.47,4.26%,0,0.00,0.00%
嘉丽,0708-引导-嘉丽-2.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnLywnbMKmDZEawRjRPxE2PE6RAjps9Zn%2BEAglSufZCvBJYkCzydwydxeLO0a45Ry5JNT3Gxrs1GmAWGC6jBERusojD8AguRAi0ooVi%2FMP6lcl3MUbE6oVN04Csk8DqFQ0y7LRR5MTE6twSNkwwzJwQZMP0aSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA4l05UU%3D,横版视频,7660371924531937316,"1,054.01","54,617",19.30,"1,150",2.11%,0.92,58,18.17,5.04%,0,0.00,0.00%
小敏,0709引导-小敏-4-1.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJU9F8V0Uh3ijh9DQ3WY1cIxnQ0NG8JbElppRhqdwSZIehBSdXCmVdB%2BaN0Ghifwp35%2FLRKYmZpyU2yJDC%2F%2BYh6fVqFtqHPdvSTNv8VYVNWUoAHN4EmzgVW9xOV8jy0WBRmKJiNyxm5GDkSIXetuA1hytYaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA7TzlbE%3D,竖版视频,7660371937247903787,512.00,"17,727",28.88,285,1.61%,1.80,18,28.44,6.32%,0,0.00,0.00%
瑞晨,0709引导+v-瑞晨-1.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJ0xKPG3%2FR0CsZ%2BKJHXTp4xmJ6h36QfOJqEMqEgTf96HyuYBGgm7skcqeVHpxY%2Fo0RMSJBqnVLcXOuITZTWWf8G%2BqcpeKMifIX5uItAyR5FEAYZT0kzGnjzLWuunwaFQbtc7cczruN%2BUQwDmbVOnrH59msaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA3oFX6U%3D,竖版视频,7660452400634134570,397.42,"31,269",12.71,"1,140",3.65%,0.35,20,19.87,1.75%,0,0.00,0.00%
嘉丽,0708-引导-嘉丽-3.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnLmOHD5c%2BeCPL%2FLkt91bZzDHcyqCXSzmgq%2Fm%2BXBf1Tcbw2k1xnz00inyHRr5NblApbaOnQGgnBT2TdfLL1IuYA1MB63LDbNYv43ZceJ7hiUDa%2FS3GyqZ4mz8Nth4awuBrMnAIiv8mbgKDkYkzhZnJD12T0aSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA%2BKQzUs%3D,竖版视频,7660371896212013110,377.68,"28,853",13.09,963,3.34%,0.39,15,25.18,1.56%,0,0.00,0.00%
小敏,0709引导-小敏-1-1.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnI16w0Vv80tT3nYZSKqg4MAs9nLzQqRZnrM%2F91CMozoZ0kzFTL3w0qGwPaI98mDzDSblEl%2BBHlcZ4kEVUOX%2FJrujTgs%2FN2T%2F5T%2FVTXpwOuViXfXJOLphLsxsb%2BO%2BiBqDhujmDjsDNDgQjBP%2BFe9oFU%2BzgEaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA7OtPLA%3D,竖版视频,7660371917899792420,376.95,"30,952",12.18,"1,021",3.30%,0.37,18,20.94,1.76%,0,0.00,0.00%
小敏,0709引导-小敏-5-1.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJgpxig2%2BXgFGG9RuIrpL9C8VLMA9ImeSEmG3P6b9qHhUcdZSaerLVY%2FF1Sm5GILnacjws%2FyHG0ApzFbiPpH3xrWUbM1qVNvmKiwdF4CjMF5hHy%2FHcRWv%2FDgppo61zk0GPCDATZYpJw8Pjm6mcuHmSpObUaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA%2FjuE%2Bs%3D,竖版视频,7660371908223402047,238.23,"8,487",28.07,190,2.24%,1.25,10,23.82,5.26%,0,0.00,0.00%
瑞晨浩正,0713-浩正瑞晨引导-1.mp4.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnKtv0QNbdQxXGLW%2F9wh9kbTC2i7ZD2iitntc4ccGi%2F8dD1QrqGu6whZNSddAjL1BjgruUB8ZyJts51fgx90VZHS2Dbw5EvUyqMaQcsK64WVV34rBZYb4cucWrCM61AdI9xXZtvV%2FAkaC8JB7Q2RiZIFZWIaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBAzLsKPM%3D,竖版视频,7662229433765298186,204.30,"4,822",42.37,92,1.91%,2.22,12,17.03,13.04%,0,0.00,0.00%
小敏,0713-引导-小敏-5.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJyw3Bf5A%2FYLf2v3CWFNe8%2FBc3qjikw72XJk7fVc1VeF%2BhC3cWLIklGzD6uDRKy%2BZkWM8o7jW%2Bi0u0Ec4jap4cEv8pYyhF4UBS4JtiMjcTea%2BwA5beOoaan0APg2DoSs3dgOkYjcQhIdFuG%2FCtIvBC3yEoaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA%2B9Cd6I%3D,竖版视频,7662222221286031410,171.76,"6,573",26.13,108,1.64%,1.59,11,15.61,10.19%,0,0.00,0.00%
小敏,0709引导-小敏-3-1.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJeVj%2FSzKLvdhKncbEMfsIhT2EqcT407JyFDcQZHlTc1ZH7DAWgr%2BVbhiH6t8QpQr7lzi6KBkINF9vRQIxjVP07N38B%2FefcKB2I5C%2Bq5vDz3Vk%2FEjLc8kvxykxAx%2Bfnw4mdcQfdhFJ%2BfoYcfVAmwwsdE%2BgaSwo8AAAAAAAAAAAAAFCqow%2BWYWPt9Yug8gUzSmbClCx8k2XrLSvi7O4n%2FOKm4%2FbEWeaDeQjwYxyAFS38F%2FdHENf7lg4Yvfeq7g4gASIBA7cTh1A%3D,竖版视频,7660371884819709994,143.47,"6,383",22.48,148,2.32%,0.97,5,28.69,3.38%,0,0.00,0.00%
