素材名称,素材内容,素材类型,素材ID,消耗,展示数,平均千次展现费用(元),点击数,点击率%,平均点击单价(元),转化数,平均转化成本,转化率%,深度转化数,深度转化成本,深度转化率%
-,高中别盲目刷题！这套学霸笔记才是重点，点击链接领取电子版！,标题,7.66E+18,"7,816.01","395,817",19.75,"6,785",1.71%,1.15,382,20.46,5.63%,0,0,0.00%
微信视频_20260711163659.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnIo7VP9STnD8y2QWiSmy61SjZQXNpGhGvZqr4ix0IjZ8VWUi8iJfyCvhlnkmmtE0fGUaIdSo72Ou9lMe5NfZvzpGH3Fs9Oj%2Fmk0XmNrgL8%2F%2FTxku6iYA0nkeEqXZutgNTvSsdOm7UICQz5imqtgyeKdTJ4aSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA0qGG1s%3D,横版视频,7.66E+18,"7,004.56","362,223",19.34,"4,205",1.16%,1.67,360,19.46,8.56%,0,0,0.00%
0708-引导-嘉丽-4.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnJHuJ4Kv7lixi1zAB%2BiTTcdAP3P9PHMtT5PX54ladmtFEIf%2BFm93ps1X%2FXujmR2%2Ffzewfqsnd5J4Gv86VR2YeqOZWnd9C66CBFz%2FK4tufJjwrcIO3Kzol87JUuOcpkKWkwpBJSw12khTcY0Rf3A0aM7sBIaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA1H9Yr0%3D,竖版视频,7.66E+18,"4,033.22","200,122",20.15,"4,623",2.31%,0.87,197,20.47,4.26%,0,0,0.00%
-,别再因为数学而困扰；这套全科学霸笔记，点击领取最新学习资料。,标题,7.66E+18,"3,599.01","204,988",17.56,"4,683",2.28%,0.77,167,21.55,3.57%,0,0,0.00%
-,本地高中生学习方法，刷到就是赚到，点击链接免费领取电子版！,标题,7.66E+18,"1,669.31","58,497",28.54,880,1.50%,1.9,85,19.64,9.66%,0,0,0.00%
-,后悔才知道！高中学霸笔记竟然这么简单，原来是这样学的！,标题,7.66E+18,"1,331.02","69,875",19.05,"1,083",1.55%,1.23,85,15.66,7.85%,0,0,0.00%
0708-引导-嘉丽-2.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnLI5hOEmR94m%2BSGi8%2F2FWQRhQ1Los9JKUR5u12wdraRLA2lgRRZGeRlk%2BOKmMR3iknYmKZJ78PAGsJu7298bWblI%2BJk4yHvDbbpCiT5T63twa6kugibD6WIvWOAFuUYpB%2B7hU9VletyBLAewhpT4zYXieEaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA%2B0fjBI%3D,横版视频,7.66E+18,"1,054.01","54,617",19.3,"1,150",2.11%,0.92,58,18.17,5.04%,0,0,0.00%
-,高中学霸笔记，刷到就是赚到！点击领取最新学习资料。,标题,7.66E+18,985.62,"65,147",15.13,"2,224",3.41%,0.44,43,22.92,1.93%,0,0,0.00%
-,高分提分学霸笔记，刷到就是赚到～点击链接领取专属资料！,标题,7.66E+18,601.74,"22,622",26.6,339,1.50%,1.78,27,22.29,7.96%,0,0,0.00%
0709引导-小敏-4-1.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnKtPMXIpzNwqOZF88cHJ0nofVmZMkqAnIu92a2UsCsc6fT75oPU41%2FKtNbuggRtMY%2BM7m%2FJ8sxTKIkoXWhetpUZcGAkjV86Akzcf0JgSVo0k6aMt2fkSTjqhrSWvEmZGM42OwA%2BV%2FUMUYnJtVWN1GKoiREaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA1xwj%2Fk%3D,竖版视频,7.66E+18,512,"17,727",28.88,285,1.61%,1.8,18,28.44,6.32%,0,0,0.00%
0709引导+v-瑞晨-1.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnKVpt5xY1fH8ZjGxcw9DMuCo3rGIc714zIRjKrOCBGFc33tb2lnYVB0rCya%2B%2BPmvlOSAfOn6b7Ld3cND0W1Z%2F6HlRp3VSlEI%2BCjkfEicggxK6uHpL7TNw00JnHjyqt8kaLjqYZI5FFiTSrJzXBBwHiwvsQaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA1DbqAo%3D,竖版视频,7.66E+18,397.42,"31,269",12.71,"1,140",3.65%,0.35,20,19.87,1.75%,0,0,0.00%
0708-引导-嘉丽-3.mp4,https://ad.oceanengine.com/material_center/outer/video_player?token=CnLULB1FruvJ55mTz6yNI3JB8MZ265uNaIt%2BziYdUZnjPqTxvjRr4irvp6K86Bj8kPHXeUkhRP2vqvJM7qZII3SyaQWKxanqB%2Bhqnr7xAAJ6HksCR4Vbh5dpFai3QIDUVAnCZCjub0I6r%2B1T0l4yoG6YYYgaSwo8AAAAAAAAAAAAAFCszCTdtdmV8iFuH7Tnv0IUsSB6Jnb%2FNxphcvfQ89eebjl9hbqMpGK8ov%2FM34FrqfzhELuVlw4Yvfeq7g4gASIBA6beGa8%3D,竖版视频,7.66E+18,377.68,"28,853",13.09,963,3.34%,0.39,15,25.18,1.56%,0,0,0.00%
