拒审建议,拒审类型,拒审详细内容,素材id,视频名称,视频链接,投放情况,审核建议,素材评估,关联在投单元数,标签,消耗,展示数,点击数,点击率(%),平均点击单价(元),平均千次展现费用(元),转化数,转化成本,转化率(%),深度转化次数,深度转化成本,深度转化率(%),回访-加为好友(计费时间),回访-高潜成交(计费时间),回访-信息确认(计费时间)
,,,"	7666106200081055782",0724-引流-魏怡-10.mp4,https://video-cn.oceanengine.com/fb73b35e8796f8288c5c15bbb601941f/6a66af47/tos-cn-ve-51/e5561dde428442bc94150811e72570a2?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=2296&bt=2296&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z6nj4_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY1OjkzZWc2Omc5NzM8ZDs0QGlqN2RkNW86M3E8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojMi9fMS8yXzUwMTU0LjIwYGEjZXNnZGFhL2plYS0tZDAwc3M%3D&btag=80000200028000&dy_q=1784941521&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072509052087637FB6062316A82B7F&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。,,,"	7666106197599305779",0724-引流-魏怡-1 C.mp4.mp4,https://video-cn.oceanengine.com/f2c2723b583935b1b5074a5415031e35/6a66af3d/tos-cn-ve-51/osbArAAILG61tAAMQ2rMm9DaQ7RBh3gwdRMfIx?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1647&bt=1647&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z6nj4_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZpOjlnNDk1ZWY5M2QzNjU4QGkzNDVoOW86M3E8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNTEzMTIvLV40MTMwNS0tMGEjZy0uNGFhL2plYS0tZDAvc3M%3D&btag=80000200028000&dy_q=1784941521&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072509052087637FB6062316A82B7F&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,,,"	7666106179987914798",0724-瑞晨引导-7c.mp4,https://video-cn.oceanengine.com/38412ccf5d727b3f3be84a698cc46097/6a66aee6/tos-cn-ve-51/oYjGsqfB2eT3Aa5DEgDQ5gA9oJDYBc1mDImRNL?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=732&bt=732&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z6nj4_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGYzNWU4aTs4aTszaDQ6Ozs3QGkzODk6PG86NXE8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojXjNhYTIzYjYvMS0wMjJiL2EjazFyZGFhXmplYS0tZDAwc3M%3D&btag=80000200010000&dy_q=1784941521&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072509052087637FB6062316A82B7F&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"建议1:您好，素材中涉及未授权的明星、名人、大师等人物名义及肖像等内容，请修改或提供相应授权，谢谢。 (刘晓艳,0秒<img src=""https://p3-bes-sign.byteimg.com/tos-cn-i-7coyogjcw8/7eab9b9887784a80babe318dcfbc3ce1~tplv-7nkd1s49gv-origin.image?rk3s=60044db5&x-expires=1879512741&x-signature=kWDKSB%2BEw1DSahbKtphFHaE9FBo%3D"">)
建议2:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。 (广告<音频、视频字幕>中存在“考研”“超过复试分数线”，推广中小学学科教育相关内容时，未提交对应推广许可证明，且直接提及学科相关内容，因此不通过。)",名人名校,刘晓艳,"	7666106179580952627",0724-引流-魏怡-7.mp4,https://video-cn.oceanengine.com/a777664d0bc23e92c8895826ddb1512d/6a66af21/tos-cn-ve-51/oM8UyWbLG0MxlGaQ1eXYBAe3BJfBiACKvnCakA?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=2433&bt=2433&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z6nj4_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY7NWg4PGQ8Njs2O2gzZDpkQGlqbmw7czlyM3E8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojMDQ0Yi8yXzUuMS1gNDVjNmEjcGkuXjJkNGplYS0tZDBhc3M%3D&btag=80000200028000&dy_q=1784941521&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072509052087637FB6062316A82B7F&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。,,,"	7666106162346213414",0724-瑞晨引导-10c.mp4,https://video-cn.oceanengine.com/d2d6479cd6fecab1b0a48059416f60ce/6a66aeed/tos-cn-ve-51/oMFGkqQI7FaAMh6tbzADL1e2ZDUAmBgPQJ09IG?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=465&bt=465&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z6nj4_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZpZDtnPDo8NTQ7NzY3aTxmQGkzeG4zZm86NXE8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojYzRhMTNgX18yMS8vMl82M2EjbTNiaWFhZmplYS0tZDAvc3M%3D&btag=80000200010000&dy_q=1784941521&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072509052087637FB6062316A82B7F&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"建议1:您好，广告中不得对推广产品／服务的效果作出明示或者暗示的保证性承诺，如承诺未来收益／产品功效（如实现财务自由、项目无风险、近视治愈等），提供虚假服务／政策保障（如考不过退款、人社局补贴３０００元等）等，请修改，谢谢。 (广告<音频>中存在“数学最难的十二个函数结论全部背述，逆袭班级前三”，该内容属于宣传通过学习培训可在短时间内实现明显学习效果提升的表述，因此不通过。)
建议2:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。",高危词,数学、逆袭,"	7666106120550514734",0724-瑞晨引导-4c.mp4,https://video-cn.oceanengine.com/31a4aed9c5a54b46a8913b1f62ec9aa5/6a66aeda/tos-cn-ve-51/oUMNJlgYRAgjfsGeU1NqjMBk72ADaDdzj32Qk7?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=266&bt=266&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z6nj4_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZnOjdmO2U4ODQ8ZWVoNzVoQGlqc2ZoaG86NXE8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojYS9hYS9jYl4tMTE0Y2FeNWEjYG0zcGFhXmplYS0tZDAwc3M%3D&btag=80000200008000&dy_q=1784941521&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072509052087637FB6062316A82B7F&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。,,,"	7666106113448329243",0724-引流-魏怡-2 C.mp4,https://video-cn.oceanengine.com/841595c997e2b95d1e1df81af6e40cd8/6a66aee6/tos-cn-ve-51/6f704a41a23d44b09fe9ef5f22f5ad77?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1776&bt=1776&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z6nj4_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY5O2c0aGhoOzQ4NzZoZDVnQGkzazh0ZW86M3E8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojYmFiMDQwY14yMV5jYzNgMWEjLTMwZ2FhL2plYS0tZDAvc3M%3D&btag=80000200010000&dy_q=1784941521&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072509052087637FB6062316A82B7F&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。,,,"	7666106109602365486",0724-瑞晨引导-2c.mp4,https://video-cn.oceanengine.com/0ca86fd0dd502dcb7df4d281a7d62346/6a66aee0/tos-cn-ve-51/owqatAEjbBIMhL2GQdDz7o2EmeMg1IAlmgrmQV?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=467&bt=467&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z6nj4_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY2ZzxnZWY4OTg2NDVpZzlpQGlqajx2N286NXE8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojMGEyNTQtNl4uMWJeMWNgYmEjcV9oNWFhXmplYS0tZDBhc3M%3D&btag=80000200010000&dy_q=1784941521&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072509052087637FB6062316A82B7F&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。 (违规点：5秒<img src="https://p6-bes-sign.byteimg.com/tos-cn-i-7coyogjcw8/fccccc4636fd4e11868d22ad9a679079~tplv-7nkd1s49gv-origin.image?rk3s=60044db5&x-expires=1879512789&x-signature=9JxspKxIIxxmFJm%2F6PKHa9bnhMw%3D">),资料图,资料图（无高危字幕口播）,"	7666106089373007899",0724-瑞晨引导-1c.mp4,https://video-cn.oceanengine.com/695057b69ac448e05825e745fcc85cad/6a66aee0/tos-cn-ve-51/ogCR3asxAmWNb17pIe9AJjTYze2DYqJDggBGQQ?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=594&bt=594&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z6nj4_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZoZWY6ZDY3Z2dnaWg7Mzc0QGlqZHJnaG86NXE8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNDRgYDItXl4uMS5eYGI1NmEjY18tcGFhXmplYS0tZDAwc3M%3D&btag=80000200010000&dy_q=1784941521&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072509052087637FB6062316A82B7F&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。 (违规点：5秒<img src="https://p9-bes-sign.byteimg.com/tos-cn-i-7coyogjcw8/c4a80c5dd256440fbba7f3a43c2b933d~tplv-7nkd1s49gv-origin.image?rk3s=60044db5&x-expires=1879512771&x-signature=i3KLxQknEseAaXfz72Fl0pbUZ1Y%3D">),引导字幕,可分享,"	7666106089372991515",0724-瑞晨引导-8c.mp4,https://video-cn.oceanengine.com/e3c84b67c2fb6cbdf1803450f82cad90/6a66aed7/tos-cn-ve-51/og2mQM7j6M4ZNGhzB42EetQQaoATtgXYuAY1bI?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=884&bt=884&cs=0&ds=3&ft=J9ThAGkHH_Myq8Z6nj4_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY7Zjo7MzM1Ozs3NDs8NTlpQGlqZm86O286NXE8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNl5jNWBgYDZgMV8vLS42YGEjYWIwYmFhXmplYS0tZDAwc3M%3D&btag=80000200008000&dy_q=1784941521&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072509052087637FB6062316A82B7F&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,0,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
