达人,抖音号,所属机构,IP人设定位,差异化背书,IP内容风格,核心选题方向,视觉/表达风格,IP后端转化,商业模式,可借鉴点
北大胡源讲数学,63202050543,独立,北大毕业的数学学习规划师,北京大学数学科学学院本科,干货拆解与痛点共鸣结合,数学学习误区与提分策略,真人出镜，理性犀利,直播间引流至高价课程,卖课与学习规划咨询,名校背书+痛点直击，适合高客单价知识付费
步学赵礼显数学,tongjizlx,步学教育,高考数学技巧提分名师,原新东方/高途头部主讲,激情大招手写板书讲解,数学低分逆袭解题大招,白板板书，语速快亢奋,评论区引导购课或私域,售卖系统班直播录播课,强人设+干货引流，信任转化高客单价
亮亮巧解数学,wll0310520,独立,巧解数学题的学霸老师,待核实,干货解题技巧分享,数学解题没思路怕考试,板书讲解+亲切口语化,待核实,课程或资料带货,选题直击解题痛点，讲法清晰易懂复刻性强
小竹数学,baihuishuxue,独立,温柔讲解高中数学的北大女学霸,北京大学数学科学学院毕业,娓娓道来，无痛拆解难题,数学听不懂、努力不提分,甜美白板讲解，温柔轻语,引流私域售卖系统课程,短视频引流直播知识付费,学霸人设+亲和力化解畏难情绪，信任转化高
老胡模型数学思维提升,97665973460,独立,用模型思维破解数学难题的老师,多年一线教学实战名师,模型拆解+口诀化总结,数学思维模型解决畏难丢分,手写板书+激情快语速讲解,私域卖课或训练营,课程与教辅资料变现,用“模型思维”概念降低家长认知门槛，选题直击提分痛点
孙明杰高阶数学｜澜启思,168611641,澜启思教育,北大毕业的高考数学高分导师,北京大学硕士，高考数学满分,硬核干货，激情讲透压轴题,高考数学压轴题、导数圆锥曲线痛点,黑板手写板书，语速快逻辑强,评论区引导私域，引流到系统课程,售卖高中数学系统提分课程,名校满分背书+强人设，用硬核选题建立信任直接转化
梦言通解数学,38231157381,独立,清华学霸趣味通解数学思维,清华大学本硕连读十年教龄,动画图解加脱口秀式拆解,数学枯燥难懂，学生提分难,数字人/黑板动画，风趣快语速,主页引流私域社群或课程,直播带课与录播课程变现,强学历背书降低决策门槛，图示化解构抽象难题
北大胡源数学,58639908055,独立,北大数学学霸，专治数学低分,北京大学数学系毕业，原作业帮名师,痛点诊断+高效解法，干货密集,数学学不好、提分慢的底层原因,半身口播+板书，语速快，犀利直接,短视频引流至直播间或课程链接,线上数学提分课程及教辅售卖,强名校背书快速建立信任，直击提分痛点高效引流
勇哥高中数学,yggzsx,独立,实战派高中数学提分教练,原重点高中骨干教师,黑板手写拆解压轴题,破解一看就会一考就废,竖屏板书+快节奏干货,评论区引导私信领资料,低价课引流转高价系统课,强干货人设缩短信任周期，选题直击中等生
数学王子悦老师,34419618241,独立,北大毕业的趣味数学解题高手,北大数学系，高考数学满分,剧情段子融合数学干货讲解,数学枯燥难懂，提分无门,黑板前夸张表演，语言生动幽默,评论区引导私信，引流微信卖课,售卖线上录播课及直播课程,学霸人设+喜剧化教学，有效降低畏难情绪并提升信任
