文件命名,上传人,状态,编导,上传类型
0611-状元笔记-自产-自产主--视觉锤-雅迪-A6-B5-有-41,wangyadibj01,已同步,雅迪,新素材
0611-状元笔记-自产-自产主--视觉锤-雅迪-A6-B5-有-42,wangyadibj01,已同步,雅迪,新素材
0611-状元笔记-自产-自产主--视觉锤-雅迪-A6-B5-有-43,wangyadibj01,已同步,雅迪,新素材
0611-状元笔记-自产-自产主--视觉锤-雅迪-A6-B5-有-44,wangyadibj01,已同步,雅迪,新素材
0611-状元笔记-自产-自产主--视觉锤-雅迪-A6-B5-有-45,wangyadibj01,已同步,雅迪,新素材
0603-9物-自产-自产二-李博-视觉锤-雅迪-A5-B1-无-20,wangyadibj01,未同步,雅迪,新素材
0603-9物-自产-自产二-李博-视觉锤-雅迪-A5-B1-有-20,wangyadibj01,未同步,雅迪,新素材
0603-9物-自产-自产二-李博-视觉锤-雅迪-A5-B1B4-无-19,wangyadibj01,未同步,雅迪,新素材
0603-9物-自产-自产二-李博-视觉锤-雅迪-A5-B1B4-有-19,wangyadibj01,未同步,雅迪,新素材
0603-9物-自产-自产二-李博-视觉锤-雅迪-A5-B2-无-16,wangyadibj01,未同步,雅迪,新素材
0603-9物-自产-自产二-李博-视觉锤-雅迪-A5-B2-无-17,wangyadibj01,未同步,雅迪,新素材
0603-9物-自产-自产二-李博-视觉锤-雅迪-A5-B2-无-18,wangyadibj01,未同步,雅迪,新素材
0603-9物-自产-自产二-李博-视觉锤-雅迪-A5-B2-有-16,wangyadibj01,未同步,雅迪,新素材
0603-9物-自产-自产二-李博-视觉锤-雅迪-A5-B2-有-17,wangyadibj01,未同步,雅迪,新素材
0603-9物-自产-自产二-李博-视觉锤-雅迪-A5-B2-有-18,wangyadibj01,未同步,雅迪,新素材
0604-状元笔记-自产-自产主--视觉锤-雅迪-无-19.mp4,wangyadibj01,已同步,雅迪,新素材
0604-状元笔记-自产-自产主--视觉锤-雅迪---无-18,wangyadibj01,已投放,雅迪,新素材
0604-状元笔记-自产-自产主--视觉锤-雅迪---无-20,wangyadibj01,已投放,雅迪,新素材
0604-状元笔记-自产-自产主--视觉锤-雅迪---无-21,wangyadibj01,已投放,雅迪,新素材
0604-状元笔记-自产-自产主--视觉锤-雅迪---无-22,wangyadibj01,已投放,雅迪,新素材
0604-状元笔记-自产-自产主--视觉锤-雅迪---无-23,wangyadibj01,已投放,雅迪,新素材
0604-状元笔记-自产-自产主--视觉锤-雅迪---无-24,wangyadibj01,已投放,雅迪,新素材
