文件命名,上传人,状态,编导,上传类型
0603-199双科-自产-自产二-李博-视觉锤-嘉丽-A5-B1-有-15,weijiali,已投放,嘉丽,新素材
0603-199双科-自产-自产二-李博-视觉锤-嘉丽-A5-B1-有-14,weijiali,已投放,嘉丽,新素材
0604-状元笔记-自产-混剪--曲中雨-嘉丽---有-8,weijiali,已同步,嘉丽,新素材
0604-状元笔记-自产-混剪--曲中雨-嘉丽---有-7,weijiali,已同步,嘉丽,新素材
0604-状元笔记-自产-混剪--曲中雨-嘉丽---有-6,weijiali,已同步,嘉丽,新素材
0604-状元笔记-自产-混剪--曲中雨-嘉丽---有-5,weijiali,已同步,嘉丽,新素材
0604-状元笔记-自产-混剪--曲中雨-嘉丽---有-4,weijiali,已同步,嘉丽,新素材
0604-状元笔记-自产-混剪--曲中雨-嘉丽---有-3,weijiali,已同步,嘉丽,新素材
0604-状元笔记-自产-混剪--曲中雨-嘉丽---有-2,weijiali,已同步,嘉丽,新素材
0604-状元笔记-自产-混剪--曲中雨-嘉丽---有-1,weijiali,已同步,嘉丽,新素材
0603-199双科-自产-自产二-李博-视觉锤-嘉丽-A5-B1-有-13,weijiali,已投放,嘉丽,新素材
0603-199双科-自产-自产二-李博-视觉锤-嘉丽-A5-B1-有-12,weijiali,已同步,嘉丽,新素材
0603-199双科-自产-自产二-李博-视觉锤-嘉丽-A5-B1-有-11,weijiali,已投放,嘉丽,新素材
0603-199双科-自产-自产二-李博-视觉锤-嘉丽-A5-B1-无-15,weijiali,已投放,嘉丽,新素材
0603-199双科-自产-自产二-李博-视觉锤-嘉丽-A5-B1-无-14,weijiali,已投放,嘉丽,新素材
0603-199双科-自产-自产二-李博-视觉锤-嘉丽-A5-B1-无-13,weijiali,已投放,嘉丽,新素材
0603-199双科-自产-自产二-李博-视觉锤-嘉丽-A5-B1-无-12,weijiali,已同步,嘉丽,新素材
0603-199双科-自产-自产二-李博-视觉锤-嘉丽-A5-B1-无-11,weijiali,已投放,嘉丽,新素材
0527-199双科-自产-自产二-李博-视觉锤-嘉丽-A7-B1-有-15,weijiali,已同步,嘉丽,新素材
0527-199双科-自产-自产二-李博-视觉锤-嘉丽-A7-B1-有-14,weijiali,已同步,嘉丽,新素材
0527-199双科-自产-自产二-李博-视觉锤-嘉丽-A7-B1-有-13,weijiali,已投放,嘉丽,新素材
0527-199双科-自产-自产二-李博-视觉锤-嘉丽-A7-B1-有-12,weijiali,已投放,嘉丽,新素材
0527-199双科-自产-自产二-李博-视觉锤-嘉丽-A7-B1-有-11,weijiali,已投放,嘉丽,新素材
