拒审建议,拒审类型,拒审详细内容,素材id,视频名称,视频链接,投放情况,审核建议,素材评估,关联在投单元数,标签,消耗,展示数,点击数,点击率(%),平均点击单价(元),平均千次展现费用(元),转化数,转化成本,转化率(%),深度转化次数,深度转化成本,深度转化率(%),,,
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。 (违规点：6秒<img src="https://p9-bes-sign.byteimg.com/tos-cn-i-7coyogjcw8/5a2e6605a2034c37af034f82f97b136c~tplv-7nkd1s49gv-origin.image?rk3s=60044db5&x-expires=1879733077&x-signature=edJtN61C0BzNhvvzFV7BJ%2FiHic0%3D">),引导字幕,上岸的笔记长这样,"	7667051488875315210",0724-引导-嘉丽D-4改.mp4,https://video-cn.oceanengine.com/d6d2e782b24de13f710565e4a86d9ff3/6a6aba85/tos-cn-ve-51/owzAcCta5eqGbfAb21XE00bBjiEAGURGWrgCf9?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1284&bt=1284&cs=0&ds=3&ft=J9ThAGkHH_Myq8Zp8KY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZoZTs3ZDc8ODo7NTw2M2k3QGlqOWVlN286amc8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojYDEtXzJjNDVjMS0tYTQyYGEjby9zX2FhXmFnYS0tZDAvc3M%3D&btag=80000200008000&dy_q=1785206651&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072810441034FA6F2DC7FE6091A1E3&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,,,
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢,,,"	7667051456160120883",0724-引导-嘉丽D-3改.mp4,https://video-cn.oceanengine.com/56f56553b08d09003f6074abd3623c4e/6a6aba80/tos-cn-ve-51/oMf2QGuxCqAcrfCcNa0VBbUgzGfAXC1zIUjiNt?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1563&bt=1563&cs=0&ds=3&ft=J9ThAGkHH_Myq8Zp8KY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZkZ2Q5Njo2N2c6NWczOTtnQGlqZW42NW86amc8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNDMuMDFiLl80MTYtXy8tNGEjb3Nya2FhXmFnYS0tZDAwc3M%3D&btag=80000200008000&dy_q=1785206651&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072810441034FA6F2DC7FE6091A1E3&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,,"	7667051423217614858",0724-引导-嘉丽D-2改.mp4,https://video-cn.oceanengine.com/ef2b66216b69d8f0bf5475da5774517b/6a6aba81/tos-cn-ve-51/ocVIDH7DEFABNZQgENQDNBeDtX1Bb9qmNAsfBu?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1461&bt=1461&cs=0&ds=3&ft=J9ThAGkHH_Myq8Zp8KY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZkOWgzNjlpNDc2ZjlkZzhpQGlqcXJneDlyamc8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNS4xYWEzYDU0MTRgMV5gMGEjLjNnZDJkY2FnYS0tZDBhc3M%3D&btag=80000200008000&dy_q=1785206651&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072810441034FA6F2DC7FE6091A1E3&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,,,
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。 (违规点：是否有梦当然),歌词,是否有梦当然,"	7667051367582318643",0724-引导-嘉丽D-1改.mp4,https://video-cn.oceanengine.com/2dee5a3caa37d003240fe6b386fa19db/6a6aba81/tos-cn-ve-51/ocrXmt1B7ITQQJMn2NotmCgAmxYf1ahEgg9bAd?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1752&bt=1752&cs=0&ds=3&ft=J9ThAGkHH_Myq8Zp8KY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY4Z2hmNTc7OWhoOjhoNmVmQGlqbTxlZW86amc8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNjZfYzYxMTU2MWAxLTA1X2EjNjQtcWFhXmFnYS0tZDAwc3M%3D&btag=80000200008000&dy_q=1785206651&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072810441034FA6F2DC7FE6091A1E3&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,,,
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。,,,"	7667039094589341722",0725-引流-魏怡-2.mp4,https://video-cn.oceanengine.com/ac8ec5931f836271dcd4b1859bacf170/6a6abaf1/tos-cn-ve-51/oMetygN1qBzBcKZa2f7sKAQJDA3mRZ6gxNI3ph?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=2206&bt=2206&cs=0&ds=3&ft=J9ThAGkHH_Myq8Zp8KY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY2NzY5aTpmM2dpM2hoOzxoQGlqcXE6M286cmY8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojLWFfMDMvLl81MS8yM2IxY2EjNGAwNmFhXmpnYS0tZDBhc3M%3D&btag=80000200028000&dy_q=1785206651&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072810441034FA6F2DC7FE6091A1E3&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,,,
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。,,,"	7667039089404887086",0725-引流-魏怡-3.mp4,https://video-cn.oceanengine.com/676d644e9f586292955c78c11a59a482/6a6abaf1/tos-cn-ve-51/oomAMfyAj2xaA8KvgmbmmwoWBSgtNn71QQwI9q?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1327&bt=1327&cs=0&ds=3&ft=J9ThAGkHH_Myq8Zp8KY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY8Zzs6NTs7NjQ2N2Q7Mzc1QGkzPDY5OG86cmY8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojMC81XzBhXjYxMTVhLl9eMWEjYHFfY2FhXmpnYS0tZDBhc3M%3D&btag=80000200028000&dy_q=1785206651&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072810441034FA6F2DC7FE6091A1E3&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,,,
"建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。
建议2:您好，素材中涉及未授权的明星、名人、大师等人物名义及肖像等内容，请修改或提供相应授权，谢谢。 (刘晓艳,0秒<img src=""https://p6-bes-sign.byteimg.com/tos-cn-i-7coyogjcw8/72c0af0fd78447979d6832279bec47b8~tplv-7nkd1s49gv-origin.image?rk3s=60044db5&x-expires=1879731070&x-signature=pxM6bTkQLt8Hr4ZpZjQHm4DV%2BuI%3D"">)",名人名校,刘晓艳,"	7667039057412587530",0725-引流-魏怡-1.mp4,https://video-cn.oceanengine.com/5d77a6926dfc73814a679d9bfaae8029/6a6abacb/tos-cn-ve-51/oAzQBEs47tAGeMgQImAamwNC29ngWH1NxgcoAu?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1627&bt=1627&cs=0&ds=3&ft=J9ThAGkHH_Myq8Zp8KY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY6M2RkNjg1aDM6aDg8Ojo2QGkzeHRtNm86cmY8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojMV4tXl9eLV8yMV8yLl41LmEjci9kZWFhXmpnYS0tZDBhc3M%3D&btag=80000200028000&dy_q=1785206651&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072810441034FA6F2DC7FE6091A1E3&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,,"	7667039015361314843",0724-国星引流-存2.mp4,https://video-cn.oceanengine.com/5bdacf656f5bf75b8581a51ef272ac45/6a6aba95/tos-cn-ve-51/oUdIBMY47tA7vMQQEmLahwpK2yzDWK1msgeoAx?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=998&bt=998&cs=0&ds=3&ft=J9ThAGkHH_Myq8Zp8KY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZkOTk1OWY3OzU3OTkzPDY0QGkzbDd5OG86cmY8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojYi4uLTZhMzUuMTU1MV9hX2EjcGlpYmFhXmpnYS0tZDAwc3M%3D&btag=80000200010000&dy_q=1785206651&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072810441034FA6F2DC7FE6091A1E3&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,,,
,,,"	7667038968084709402",0724-国星引流-存3.mp4,https://video-cn.oceanengine.com/9865ae9cfd8f4ff1abb404bb79de590e/6a6aba86/tos-cn-ve-51/oMbQLwAzmIxBpnYdnzVt4wAUWaQxAmtxEhIt3?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=1186&bt=1186&cs=0&ds=3&ft=J9ThAGkHH_Myq8Zp8KY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGY5M2RlNTdoOmQ4ZzM2aTY4QGlqa3hlZ286cmY8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojNC8wYmA2Y18xMS1iYV8vNGEjaDBicGFhXmpnYS0tZDAwc3M%3D&btag=80000200008000&dy_q=1785206651&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072810441034FA6F2DC7FE6091A1E3&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,,,
建议1:您好，广告中涉及暂不接受投放的中危行业或内容等，请修改，谢谢。,,,"	7667038958081835018",0724-国星引流-存1.mp4,https://video-cn.oceanengine.com/2e980b4510d761fb8adbcd2977ec3b5f/6a6aba82/tos-cn-ve-51/oYXmweW7W1mGKEBIWAt1AzlaQrmmMg3xo2MByH?a=1402&ch=0&cr=0&dr=3&cd=0%7C0%7C0%7C0&br=695&bt=695&cs=0&ds=3&ft=J9ThAGkHH_Myq8Zp8KY_e2NvjTQ&mime_type=video_mp4&qs=0&rc=NXZpTGRTaFBnKWxncmd5aHFsc3IxZGZnZDs2NTVnNGg7Z2ZmNDc7QGlqcXVnNm86cmY8MzM0NjMzQFNsa3ZpcUQ6amtqXmJmK2BeaWpgYTojYi9iMDFeXjVhMWM1MC8wY2EjaTE1c2FhXmpnYS0tZDBhc3M%3D&btag=80000200008000&dy_q=1785206651&feature_id=d6a18d7c5414b1f1e95a75faf9147845&l=2026072810441034FA6F2DC7FE6091A1E3&ply_type=3&policy=eyJ2bSI6MywidWlkIjoiMzEyOTY1MDYwMzg4ODE4NSJ9,未使用,审核不通过,--,1,--,0,0,0,0,0,0,0,0,0,0,0,0,,,
